M1 month ,Visit,VisitedHouses,UseBednets,m1VisitedHouses,CumUseBednets,Percent,Cum. percent
Nov_2018,M1,113,65,113,65,57.52,57
Nov_2018,M2,89,73,113,138,64.6,122.12
Nov_2018,M3,88,77,113,215,68.14,190.27
Nov_2018,M4,86,71,113,286,62.83,253.1
Nov_2018,M5,85,80,113,366,70.8,323.89
Nov_2018,M6,83,74,113,440,65.49,383.38
Dec_2018,M1,153,114,153,114,74.51,74.51
Dec_2018,M2,144,110,153,224,71.9,146.41
Dec_2018,M3,141,109,153,333,71.24,217.65
Dec_2018,M4,138,126,153,459,82.35,300
Dec_2018,M5,137,124,153,583,81.05,381.05
Dec_2018,M6,134,120,153,703,78.43,459.48
Jan_2019,M1,76,51,76,51,67.11,67.11
Jan_2019,M2,75,60,76,111,78.95,146.05
Jan_2019,M3,75,66,76,117,86.84,232.89
Jan_2019,M4,75,62,76,239,81.58,314.47
Jan_2019,M5,74,64,76,303,84.21,398.68
Jan_2019,M6,9,8,76,311,10.53,409.21
Feb_2019,M1,2,1,2,1,50,50
Feb_2019,M2,2,2,2,3,100,150
Feb_2019,M3,2,2,2,5,100,250
Feb_2019,M4,1,1,2,6,50,300
Mar_2019,M1,1,1,1,1,100,100
Mar_2019,M2,1,1,1,2,100,200
Mar_2019,M3,1,0,1,2,0,200
